tender_id,is_planted_anomaly,pattern_types,pattern_description
TEN0001,False,,
TEN0002,False,,
TEN0003,False,,
TEN0004,False,,
TEN0005,False,,
TEN0006,False,,
TEN0007,False,,
TEN0008,False,,
TEN0009,True,shared_vendor_relationship,Winning vendor VEN0078 shares a registration group (CONTACT_SHARED2) with other vendors in the dataset.
TEN0010,False,,
TEN0011,False,,
TEN0012,False,,
TEN0013,True,unusual_bid_pattern;high_price,"Two competing bids were submitted within a very narrow price range of each other.; Winning amount of 2,845,000 is about 1.51x the estimated value of 1,889,000."
TEN0014,False,,
TEN0015,False,,
TEN0016,False,,
TEN0017,False,,
TEN0018,True,new_vendor_winner;high_price,"Winning vendor VEN0114 was registered on 2023-08-23, within 2 years of the tender date 2023-11-23.; Winning amount of 1,745,000 is about 1.39x the estimated value of 1,254,000."
TEN0019,False,,
TEN0020,False,,
TEN0021,True,new_vendor_winner;high_price,"Winning vendor VEN0047 was registered on 2024-04-08, within 2 years of the tender date 2024-11-23.; Winning amount of 11,795,000 is about 1.56x the estimated value of 7,564,000."
TEN0022,False,,
TEN0023,False,,
TEN0024,True,high_price,"Winning amount of 1,846,000 is about 1.31x the estimated value of 1,404,000."
TEN0025,False,,
TEN0026,False,,
TEN0027,True,high_price,"Winning amount of 8,951,000 is about 1.47x the estimated value of 6,072,000."
TEN0028,False,,
TEN0029,False,,
TEN0030,False,,
TEN0031,False,,
TEN0032,False,,
TEN0033,False,,
TEN0034,False,,
TEN0035,False,,
TEN0036,False,,
TEN0037,False,,
TEN0038,False,,
TEN0039,True,shared_vendor_relationship;high_price,"Winning vendor VEN0019 shares a registration group (CONTACT_SHARED3) with other vendors in the dataset.; Winning amount of 11,235,000 is about 1.47x the estimated value of 7,623,000."
TEN0040,False,,
TEN0041,False,,
TEN0042,False,,
TEN0043,False,,
TEN0044,False,,
TEN0045,False,,
TEN0046,False,,
TEN0047,False,,
TEN0048,False,,
TEN0049,False,,
TEN0050,False,,
TEN0051,True,unusual_bid_pattern,Two competing bids were submitted within a very narrow price range of each other.
TEN0052,True,low_competition,"Only 2 vendors submitted bids for this tender, indicating very low competition."
TEN0053,False,,
TEN0054,True,low_competition,"Only 2 vendors submitted bids for this tender, indicating very low competition."
TEN0055,False,,
TEN0056,False,,
TEN0057,False,,
TEN0058,False,,
TEN0059,False,,
TEN0060,False,,
TEN0061,False,,
TEN0062,False,,
TEN0063,False,,
TEN0064,False,,
TEN0065,False,,
TEN0066,False,,
TEN0067,False,,
TEN0068,False,,
TEN0069,False,,
TEN0070,True,high_price,"Winning amount of 5,004,000 is about 1.50x the estimated value of 3,331,000."
TEN0071,False,,
TEN0072,False,,
TEN0073,False,,
TEN0074,False,,
TEN0075,True,high_price,"Winning amount of 939,000 is about 1.37x the estimated value of 684,000."
TEN0076,False,,
TEN0077,False,,
TEN0078,False,,
TEN0079,False,,
TEN0080,False,,
TEN0081,True,new_vendor_winner,"Winning vendor VEN0083 was registered on 2023-03-11, within 2 years of the tender date 2023-12-14."
TEN0082,False,,
TEN0083,False,,
TEN0084,False,,
TEN0085,False,,
TEN0086,False,,
TEN0087,False,,
TEN0088,False,,
TEN0089,False,,
TEN0090,False,,
TEN0091,False,,
TEN0092,False,,
TEN0093,False,,
TEN0094,False,,
TEN0095,False,,
TEN0096,False,,
TEN0097,False,,
TEN0098,False,,
TEN0099,False,,
TEN0100,False,,
TEN0101,False,,
TEN0102,False,,
TEN0103,False,,
TEN0104,False,,
TEN0105,False,,
TEN0106,False,,
TEN0107,False,,
TEN0108,False,,
TEN0109,False,,
TEN0110,False,,
TEN0111,False,,
TEN0112,True,high_price,"Winning amount of 2,030,000 is about 1.51x the estimated value of 1,340,000."
TEN0113,False,,
TEN0114,True,unusual_bid_pattern,Two competing bids were submitted within a very narrow price range of each other.
TEN0115,True,low_competition;high_price,"Only 2 vendors submitted bids for this tender, indicating very low competition.; Winning amount of 37,787,000 is about 1.51x the estimated value of 25,061,000."
TEN0116,True,high_price,"Winning amount of 711,000 is about 1.35x the estimated value of 527,000."
TEN0117,False,,
TEN0118,False,,
TEN0119,False,,
TEN0120,False,,
TEN0121,True,shared_vendor_relationship;high_price,"Winning vendor VEN0074 shares a registration group (CONTACT_SHARED2) with other vendors in the dataset.; Winning amount of 75,711,000 is about 1.58x the estimated value of 48,017,000."
TEN0122,False,,
TEN0123,False,,
TEN0124,True,unusual_bid_pattern,Two competing bids were submitted within a very narrow price range of each other.
TEN0125,False,,
TEN0126,False,,
TEN0127,False,,
TEN0128,False,,
TEN0129,False,,
TEN0130,False,,
TEN0131,True,unusual_bid_pattern,Two competing bids were submitted within a very narrow price range of each other.
TEN0132,False,,
TEN0133,True,low_competition,"Only 2 vendors submitted bids for this tender, indicating very low competition."
TEN0134,False,,
TEN0135,False,,
TEN0136,False,,
TEN0137,False,,
TEN0138,True,high_price,"Winning amount of 1,836,000 is about 1.50x the estimated value of 1,226,000."
TEN0139,False,,
TEN0140,False,,
TEN0141,False,,
TEN0142,False,,
TEN0143,False,,
TEN0144,False,,
TEN0145,False,,
TEN0146,True,unusual_bid_pattern,Two competing bids were submitted within a very narrow price range of each other.
TEN0147,False,,
TEN0148,False,,
TEN0149,False,,
TEN0150,False,,
TEN0151,False,,
TEN0152,False,,
TEN0153,True,new_vendor_winner,"Winning vendor VEN0022 was registered on 2024-06-02, within 2 years of the tender date 2024-11-18."
TEN0154,False,,
TEN0155,False,,
TEN0156,False,,
TEN0157,False,,
TEN0158,False,,
TEN0159,False,,
TEN0160,False,,
TEN0161,False,,
TEN0162,True,new_vendor_winner,"Winning vendor VEN0051 was registered on 2022-10-05, within 2 years of the tender date 2023-03-04."
TEN0163,False,,
TEN0164,True,low_competition,"Only 2 vendors submitted bids for this tender, indicating very low competition."
TEN0165,False,,
TEN0166,False,,
TEN0167,False,,
TEN0168,True,new_vendor_winner;high_price,"Winning vendor VEN0111 was registered on 2023-08-30, within 2 years of the tender date 2024-03-05.; Winning amount of 13,794,000 is about 1.45x the estimated value of 9,516,000."
TEN0169,False,,
TEN0170,False,,
TEN0171,False,,
TEN0172,False,,
TEN0173,True,shared_vendor_relationship,Winning vendor VEN0078 shares a registration group (CONTACT_SHARED2) with other vendors in the dataset.
TEN0174,False,,
TEN0175,False,,
TEN0176,False,,
TEN0177,False,,
TEN0178,False,,
TEN0179,False,,
TEN0180,False,,
TEN0181,False,,
TEN0182,False,,
TEN0183,True,unusual_bid_pattern,Two competing bids were submitted within a very narrow price range of each other.
TEN0184,False,,
TEN0185,False,,
TEN0186,False,,
TEN0187,False,,
TEN0188,False,,
TEN0189,False,,
TEN0190,False,,
TEN0191,False,,
TEN0192,False,,
TEN0193,False,,
TEN0194,False,,
TEN0195,False,,
TEN0196,True,shared_vendor_relationship,Winning vendor VEN0007 shares a registration group (ADDR_SHARED3) with other vendors in the dataset.
TEN0197,False,,
TEN0198,False,,
TEN0199,True,shared_vendor_relationship,Winning vendor VEN0019 shares a registration group (CONTACT_SHARED3) with other vendors in the dataset.
TEN0200,False,,
TEN0201,True,new_vendor_winner,"Winning vendor VEN0108 was registered on 2022-02-15, within 2 years of the tender date 2023-06-07."
TEN0202,False,,
TEN0203,False,,
TEN0204,False,,
TEN0205,False,,
TEN0206,False,,
TEN0207,False,,
TEN0208,False,,
TEN0209,False,,
TEN0210,False,,
TEN0211,False,,
TEN0212,True,new_vendor_winner,"Winning vendor VEN0075 was registered on 2023-10-12, within 2 years of the tender date 2023-11-08."
TEN0213,True,low_competition,"Only 2 vendors submitted bids for this tender, indicating very low competition."
TEN0214,False,,
TEN0215,False,,
TEN0216,False,,
TEN0217,False,,
TEN0218,False,,
TEN0219,False,,
TEN0220,False,,
TEN0221,False,,
TEN0222,False,,
TEN0223,False,,
TEN0224,False,,
TEN0225,False,,
TEN0226,False,,
TEN0227,False,,
